0	1
4-Amino-5-aminomethyl-2-methylpyrimidine	CC1=NC=C(C(=N1)N)CN
4-Amino-anhydrotetracycline	CC1=C2C=CC=C(C2=C(C3=C1C[C@H]4[C@@H](C(=O)C(=C([C@]4(C3=O)O)O)C(=O)N)N)O)O
4-Aminoanhydrochlortetracycline	CC1=C2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C(C=CC(=C14)Cl)O)O)O)O)C(=O)N)N
4-Aminobenzenesulfonate	C1=CC(=CC=C1N)S(=O)(=O)[O-]
4-Aminobenzoate	C1=CC(=CC=C1C(=O)[O-])N
4-Aminobutanoate	C(CC(=O)O)CN
4-Aminocatechol	C1=CC(=C(C=C1N)O)O
4-Androstene-3,17-dione	C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CCC4=O)C
4-Bromo-3,5-cyclohexadiene-1,2-dione	C1=CC(=O)C(=O)C=C1Br
4-Bromocatechol	C1=CC(=C(C=C1Br)O)O
4-Bromophenol	C1=CC(=CC=C1O)Br
4-Bromophenol-2,3-epoxide	C1=C(C2C(O2)C(=C1)Br)O
4-Carboxy-2-hydroxy-6-methoxy-6-oxohexa-2,4-dienoate	COC(=O)/C=C(\C=C(/C(=O)O)\O)/C(=O)O
4-Carboxy-2-hydroxymuconate semialdehyde	C(=C/O)\C(=C/C(=O)C(=O)O)\C(=O)O
4-Carboxy-2-hydroxymuconate semialdehyde	C(=C/[O-])\C(=C/C(=O)C(=O)O)\C(=O)[O-]
4-Carboxy-2-oxo-3-hexenedioate	C(/C(=C/C(=O)C(=O)O)/C(=O)O)C(=O)O
4-Carboxy-4'-sulfoazobenzene	C1=CC(=CC=C1C(=O)O)N=NC2=CC=C(C=C2)S(=O)(=O)O
4-Carboxy-4-hydroxy-2-oxoadipate	C(C(=O)C(=O)O)C(CC(=O)O)(C(=O)O)O
4-Carboxymethyl-4-methylbut-2-en-1,4-olide	CC1(C=CC(=O)O1)CC(=O)O
4-Chloroacetophenone	CC(=O)C1=CC=C(C=C1)Cl
4-Chloroaniline	C1=CC(=CC=C1N)Cl
4-Chlorobenzaldehyde	C1=CC(=CC=C1C=O)Cl
4-Chlorobenzoate	C1=CC(=CC=C1C(=O)[O-])Cl
4-Chlorobiphenyl	C1=CC=C(C=C1)C2=CC=C(C=C2)Cl
4-Chlorocatechol	C1=CC(=C(C=C1Cl)O)O
4-Chlorophenol	C1=CC(=CC=C1O)Cl
4-Chlorophenoxyacetate	C1=CC(=CC=C1OCC(=O)[O-])Cl
4-Chlorophenylacetate	C1=CC(=CC=C1CC(=O)[O-])Cl
4-Chlorophenylacetate	C1=CC(=CC=C1CC(=O)O)Cl
4-Cholesten-3-one	C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C
4-Cholesten-7alpha,12alpha-diol-3-one	C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2[C@@H](CC4=CC(=O)CC[C@]34C)O)O)C
4-Chrysenecarboxylate	C1=CC=C2C(=C1)C=CC3=C2C=CC4=C3C(=CC=C4)C(=O)O
4-Coumarate	C1=CC(=CC=C1/C=C/C(=O)O)O
4-Coumarate	C1=CC(=CC=C1/C=C/C(=O)O)[O-]
4-Coumaryl alcohol	C1=CC(=CC=C1/C=C/CO)O
4-Cresol	CC1=CC=C(C=C1)O
4-Demethylpremithramycinone	CC(=O)C1=C([C@@]2([C@@H](CC3=CC4=CC(=CC(=C4C(=C3C2=O)O)O)O)[C@@H](C1=O)O)O)O
4-Deoxy-4-thio-alpha-D-digitoxosyl-calicheamicin T0	C[C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O[C@H]2C#C/C=C\C#C[C@@]\3(CC(=O)C(=C2/C3=C\CSSSC)NC(=O)OC)O)O)O)NO[C@H]4C[C@@H]([C@@H]([C@H](O4)C)S)O
4-Dimethylallyl-L-abrine	CC(=CCC1=C2C(=CC=C1)NC=C2C[C@@H](C(=O)O)NC)C
4-Ethylphenol	CCC1=CC=C(C=C1)O
4-Fluorobenzoate	C1=CC(=CC=C1C(=O)[O-])F
4-Fluorocatechol	C1=CC(=C(C=C1F)O)O
4-Fluorocyclohexadiene-cis,cis-1,2-diol	C1=CC(=C[C@H]([C@H]1O)O)F
4-Fluorocyclohexadiene-cis,cis-1,2-diol-1-carboxylate	C1=C[C@@]([C@H](C=C1F)O)(C(=O)O)O
4-Formylsalicylic acid	C1=CC(=C(C=C1C=O)O)C(=O)O
4-Glutathionyl cyclophosphamide	C1COP(=O)(NC1SCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N)N(CCCl)CCCl
4-Glyceollidin	CC(=CCC1=C(C=CC2=C1OC[C@@]3([C@H]2OC4=C3C=CC(=C4)O)O)O)C
4-Guanidinobutanamide	C(CC(=O)N)CN=C(N)N
4-Guanidinobutanoate	C(CC(=O)O)CN=C(N)N
4-Hydroxy-1-(3-pyridinyl)-1-butanone	C1=CC(=CN=C1)C(=O)CCCO
4-Hydroxy-2,2'-bipyrrole-5-carbaldehyde	C1=CNC(=C1)C2=CC(=C(N2)C=O)O
4-Hydroxy-2,2'-bipyrrole-5-methanol	C1=CNC(=C1)C2=CC(=C(N2)CO)O
4-Hydroxy-2,6-dimethylaniline	CC1=CC(=CC(=C1N)C)O
4-Hydroxy-2-oxo-heptanedioate	C(CC(=O)O)C(CC(=O)C(=O)O)O
4-Hydroxy-2-oxo-heptanedioate	C(CC(=O)[O-])[C@@H](CC(=O)C(=O)[O-])O
4-Hydroxy-2-oxohexanoic acid	CCC(CC(=O)C(=O)O)O
4-Hydroxy-2-oxopentanoate	CC(CC(=O)C(=O)[O-])O
4-Hydroxy-2-oxopentanoate	CC(CC(=O)C(=O)O)O
4-Hydroxy-2-quinolinecarboxylic acid	C1=CC=C2C(=C1)C(=O)C=C(N2)C(=O)O
4-Hydroxy-2-quinolone	C1=CC=C2C(=C1)C(=CC(=O)N2)O
4-Hydroxy-3-methoxy-benzaldehyde	COC1=C(C=CC(=C1)C=O)O
4-Hydroxy-3-methylbenzaldehyde	CC1=C(C=CC(=C1)C=O)O
4-Hydroxy-3-methylbenzoate	CC1=C(C=CC(=C1)C(=O)O)O
4-Hydroxy-3-polyprenylbenzoate	CC(=CCC/C(=C/CC1=C(C=CC(=C1)C(=O)O)O)/C)C
4-Hydroxy-4-(methylnitrosoamino)-1-(3-pyridinyl)-1-butanone	CN(C(CCC(=O)C1=CN=CC=C1)O)N=O
4-Hydroxy-4-methylglutamate	C[C@](C[C@@H](C(=O)O)N)(C(=O)O)O
4-Hydroxy-5-phenyltetrahydro-1,3-oxazin-2-one	C1C(C(NC(=O)O1)O)C2=CC=CC=C2
4-Hydroxy-9-fluorenone	C1=CC=C2C(=C1)C3=C(C2=O)C=CC=C3O
4-Hydroxy-L-threonine	C([C@H]([C@@H](C(=O)O)N)O)O
4-Hydroxy-L-tryptophan	C1=CC2=C(C(=C1)O)C(=CN2)C[C@@H](C(=O)O)N
4-Hydroxyaniline	C1=CC(=CC=C1N)O
4-Hydroxybenzaldehyde	C1=CC(=CC=C1C=O)O
4-Hydroxybenzoate	C1=CC(=CC=C1C(=O)O)[O-]
4-Hydroxybenzoyl-CoA	CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCSC(=O)C4=CC=C(C=C4)O)O
4-Hydroxybenzoyl-adenylate	C1=CC(=CC=C1C(=O)OP(=O)([O-])OC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=NC4=C(N=CN=C43)N)O)O)O
4-Hydroxybenzoyl-adenylate	C1=CC(=CC=C1C(=O)OP(=O)(O)OC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=NC4=C(N=CN=C43)N)O)O)O
4-Hydroxybutanoic acid	C(CC(=O)O)CO
4-Hydroxybutyryl-CoA	CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCSC(=O)CCCO)O
4-Hydroxycinnamyl alcohol 4-D-glucoside	C1=CC(=CC=C1/C=C/CO)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O
4-Hydroxycinnamyl aldehyde	C1=CC(=CC=C1/C=C/C=O)O
4-Hydroxycyclophosphamide	C1COP(=O)(NC1O)N(CCCl)CCCl
4-Hydroxydihydrocinnamaldehyde	C1=CC(=CC=C1CCC=O)O
4-Hydroxyifosfamide	C1COP(=O)(N(C1O)CCCl)NCCCl
4-Hydroxyisophthalate	C1=CC(=C(C=C1C(=O)O)C(=O)O)O
4-Hydroxyisophthalate	C1=CC(=C(C=C1C(=O)[O-])C(=O)O)[O-]
4-Hydroxylamino-2,6-dinitrotoluene	CC1=C(C=C(C=C1[N+](=O)[O-])NO)[N+](=O)[O-]
4-Hydroxymethylcatechol	C1=CC(=C(C=C1CO)O)O
4-Hydroxymethylsalicylaldehyde	C1=CC(=C(C=C1CO)O)C=O
4-Hydroxymethylsalicylate	C1=CC(=C(C=C1CO)O)C(=O)O
4-Hydroxymyxol	CC1=C(C(C[C@@H](C1O)O)(C)C)/C=C/C(=C/C=C/C(=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/C=C(\C)/C=C/[C@@H](C(C)(C)O)O)/C)/C
4-Hydroxyphenacyl alcohol	C1=CC(=CC=C1C(=O)CO)O
4-Hydroxyphenyl-4-hydroxybenzoate	C1=CC(=CC=C1C(=O)OC2=CC=C(C=C2)O)O
4-Hydroxyphenylacetaldehyde	C1=CC(=CC=C1CC=O)O
4-Hydroxyphenylacetate	C1=CC(=CC=C1CC(=O)O)O
4-Hydroxyphenylacetate	C1=CC(=CC=C1CC(=O)[O-])O
4-Hydroxyphenylacetyl-CoA	CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCSC(=O)CC4=CC=C(C=C4)O)O
4-Hydroxyphenylacetylglutamic acid	C1=CC(=CC=C1CC(=O)NC(CCC(=O)O)C(=O)O)O
4-Hydroxyphenylglyoxylate	C1=CC(=CC=C1C(=O)C(=O)O)O
4-Hydroxyphenylglyoxylate	C1=CC(=CC=C1C(=O)C(=O)O)[O-]
4-Hydroxyphthalate	C1=CC(=C(C=C1[O-])C(=O)[O-])C(=O)O
4-Hydroxytryptamine	C1=CC2=C(C(=C1)O)C(=CN2)CCN
4-Hydroxyvalproic acid	CCCC(CC(C)O)C(=O)O
4-Imidazolone-5-acetate	C1=NC(C(=O)N1)CC(=O)O
4-Imidazolone-5-propanoate	C1=NC(C(=O)N1)CCC(=O)O
4-Isopropenyl-2-oxy-cyclohexanecarboxyl-CoA	CC(=C)C1CCC(C(=O)C1)C(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=NC4=C(N=CN=C43)N)O)OP(=O)(O)O)O
4-Isopropylbenzaldehyde	CC(C)C1=CC=C(C=C1)C=O
4-Keto-2-undecylpyrroline	CCCCCCCCCCCC1=CC(=O)CN1
4-Keto-anhydrotetracycline	CC1=C2C=CC=C(C2=C(C3=C1C[C@H]4C(=O)C(=C(C(=O)[C@]4(C3=O)O)C(=O)N)O)O)O
4-Ketoanhydrochlortetracycline	CC1=C2C[C@H]3C(=O)C(=C(C(=O)[C@]3(C(=O)C2=C(C4=C(C=CC(=C14)Cl)O)O)O)C(=O)N)O
4-Ketocyclophosphamide	C1COP(=O)(NC1=O)N(CCCl)CCCl
4-Ketoifosfamide	C1COP(=O)(N(C1=O)CCCl)NCCCl
4-Ketomyxol	CC1=C(C(C[C@@H](C1=O)O)(C)C)/C=C/C(=C/C=C/C(=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/C=C(\C)/C=C/[C@@H](C(C)(C)O)O)/C)/C
4-Maleylacetoacetate	C(C(=O)CC(=O)O)C(=O)/C=C\C(=O)O
4-Maleylacetoacetate	C(C(=O)CC(=O)[O-])C(=O)/C=C\C(=O)[O-]
4-Methoxy-2,2'-bipyrrole-5-carbaldehyde	COC1=C(NC(=C1)C2=CC=CN2)C=O
4-Methyl-2,4-bis-(p-hydroxyphenyl)pent-1-ene	CC(C)(CC(=C)C1=CC=C(C=C1)O)C2=CC=C(C=C2)O
4-Methyl-2-oxopentanoate	CC(C)CC(=O)C(=O)O
4-Methyl-2-oxopentanoate	CC(C)CC(=O)C(=O)[O-]
4-Methyl-L-glutamate	CC(C[C@@H](C(=O)O)N)C(=O)O
4-Methylamino-4-de(dimethylamino)anhydrotetracycline	CC1=C2C=CC=C(C2=C(C3=C1C[C@H]4[C@@H](C(=O)C(=C([C@]4(C3=O)O)O)C(=O)N)NC)O)O
4-Methylaminobutanal	CNCCCC=O
4-Methylcatechol	CC1=CC(=C(C=C1)O)O
4-Methylene-2-oxoglutarate	C=C(CC(=O)C(=O)O)C(=O)O
4-Methylene-L-glutamate	C=C(C[C@@H](C(=O)O)N)C(=O)O
4-Methylene-L-glutamate	C=C(C[C@@H](C(=O)[O-])[NH3+])C(=O)[O-]
4-Methylpentanal	CC(C)CCC=O
4-Methylsalicylate	CC1=CC(=C(C=C1)C(=O)O)O
4-Methylthio-2-oxobutanoic acid	CSCCC(=O)C(=O)O
4-Methylthiobutanaldoxime	CSCCC/C=N\O
4-Methylthiobutanaldoxime	CSCCC/C=N/O
4-Methylthiobutanaldoxime	CSCCCC=NO
4-Methylthiobutylthiohydroximate	CSCCCC(=S)NO
4-N-(N-Acetyl-D-glucosaminyl)-protein	C1=CC(=NC=C1N)Cl
4-Nitrobenzoate	C1=CC(=CC=C1C(=O)[O-])[N+](=O)[O-]
4-Nitrobenzoyl-CoA	CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])[C@H](C(=O)NCCC(=O)NCCSC(=O)C4=CC=C(C=C4)[N+](=O)[O-])O
4-Nitrocatechol	C1=CC(=C(C=C1[N+](=O)[O-])O)O
4-O-(2-N-Acetyl-alpha-D-glucosaminyl-D-ribitylphospho)n-di[(2R)-1-glycerophospho]-N-acetyl-beta-D-mannosaminyl-(1->4)-N-acetyl-alpha-D-glucosaminyl-diphospho-ditrans,octacis-undecaprenol	CC(=CCC/C(=C/CC/C(=C/CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\COP(=O)(O)OP(=O)(O)O[C@@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O[C@H]2[C@H]([C@H]([C@@H]([C@H](O2)CO)OP(=O)(O)OC[C@@H](COP(=O)(O)OC[C@@H](COP(=O)(O)OC[C@H]([C@H]([C@H](CO)O)O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)NC(=O)C)O)O)O)NC(=O)C)O)NC(=O)C)/C)/C)/C)/C)/C)/C)/C)/C)/C)/C)C
4-O-(2-N-Acetyl-beta-D-glucosaminyl-D-ribitylphospho)n-di[(2R)-1-glycerophospho]-N-acetyl-beta-D-mannosaminyl-(1->4)-N-acetyl-alpha-D-glucosaminyl-diphospho-ditrans,octacis-undecaprenol	CC(=CCC/C(=C/CC/C(=C/CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\COP(=O)(O)OP(=O)(O)O[C@@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O[C@H]2[C@H]([C@H]([C@@H]([C@H](O2)CO)OP(=O)(O)OC[C@@H](COP(=O)(O)OC[C@@H](COP(=O)(O)OC[C@H]([C@H]([C@H](CO)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)NC(=O)C)O)O)O)O)O)NC(=O)C)O)NC(=O)C)/C)/C)/C)/C)/C)/C)/C)/C)/C)/C)C
4-O-(D-Ribitylphospho)n-di[(2R)-1-glycerophospho]-N-acetyl-beta-D-mannosaminyl-(1->4)-N-acetyl-alpha-D-glucosaminyl-diphospho-ditrans,octacis-undecaprenol	CC(=CCC/C(=C/CC/C(=C/CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\COP(=O)(O)OP(=O)(O)O[C@@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O[C@H]2[C@H]([C@H]([C@@H]([C@H](O2)CO)OP(=O)(O)OC[C@@H](COP(=O)(O)OC[C@@H](COP(=O)(O)OC[C@H]([C@H]([C@H](CO)O)O)O)O)O)O)NC(=O)C)O)NC(=O)C)/C)/C)/C)/C)/C)/C)/C)/C)/C)/C)C
4-O-(alpha-L-rhamnopyranosyl)-hydroxybenzoate methyl ester	C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC2=CC=C(C=C2)C(=O)OC)O)O)O
4-O-(beta-L-arabinofuranosyl)-(2S,4S)-4-hydroxyproline	C1[C@@H](C[NH2+][C@@H]1C(=O)[O-])O[C@@H]2[C@@H]([C@H]([C@@H](O2)CO)O)O
4-O-(beta-L-arabinofuranosyl)-(2S,4S)-4-hydroxyproline	C1[C@@H](CN[C@@H]1C(=O)O)O[C@@H]2[C@@H]([C@H]([C@@H](O2)CO)O)O
4-O-(beta-L-arabinofuranosyl-(1->2)-beta-L-arabinofuranosyl-(1->2)-beta-L-arabinofuranosyl)-(2S,4S)-4-hydroxyproline	C1[C@@H](CN[C@@H]1C(=O)O)O[C@@H]2[C@@H]([C@H]([C@@H](O2)CO)O)O[C@@H]3[C@@H]([C@H]([C@@H](O3)CO)O)O[C@@H]4[C@@H]([C@H]([C@@H](O4)CO)O)O
4-O-(beta-L-arabinofuranosyl-(1->2)-beta-L-arabinofuranosyl-(1->2)-beta-L-arabinofuranosyl)-(2S,4S)-4-hydroxyproline	C1[C@@H](C[NH2+][C@@H]1C(=O)[O-])O[C@@H]2[C@@H]([C@H]([C@@H](O2)CO)O)O[C@@H]3[C@@H]([C@H]([C@@H](O3)CO)O)O[C@@H]4[C@@H]([C@H]([C@@H](O4)CO)O)O
4-O-(indol-3-ylacetyl)-beta-D-glucose	C1=CC=C2C(=C1)C(=CN2)CC(=O)O[C@@H]3[C@H](O[C@H]([C@@H]([C@H]3O)O)O)CO
4-O-Di[(2R)-1-glycerophospho]-N-acetyl-beta-D-mannosaminyl-(1->4)-N-acetyl-alpha-D-glucosaminyl-diphospho-ditrans,octacis-undecaprenol	CC(=CCC/C(=C/CC/C(=C/CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\COP(=O)(O)OP(=O)(O)O[C@@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O[C@H]2[C@H]([C@H]([C@@H]([C@H](O2)CO)OP(=O)(O)OC[C@@H](COP(=O)(O)OC[C@@H](CO)O)O)O)NC(=O)C)O)NC(=O)C)/C)/C)/C)/C)/C)/C)/C)/C)/C)/C)C
4-O-Phospho-alpha-Kdo-(2->6)-lipid IVA	CCCCCCCCCCC[C@H](CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@@H]1OP(=O)([O-])[O-])CO[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO[C@@]3(C[C@H]([C@H]([C@H](O3)[C@@H](CO)O)O)OP(=O)([O-])[O-])C(=O)[O-])OP(=O)([O-])[O-])OC(=O)C[C@@H](CCCCCCCCCCC)O)NC(=O)C[C@@H](CCCCCCCCCCC)O)O)OC(=O)C[C@@H](CCCCCCCCCCC)O)O
4-O-[(1-D-ribitylphospho)n-(1-D-ribitylphospho)-(2R)-1-glycerophospho]-N-acetyl-beta-D-mannosaminyl-(1->4)-N-acetyl-alpha-D-glucosaminyl-diphospho-ditrans,octacis-undecaprenol	CC(=CCC/C(=C/CC/C(=C/CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\COP(=O)(O)OP(=O)(O)O[C@@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O[C@H]2[C@H]([C@H]([C@@H]([C@H](O2)CO)OP(=O)(O)OC[C@@H](COP(=O)(O)OC[C@H]([C@H]([C@H](COP(=O)(O)OC[C@H]([C@H]([C@H](CO)O)O)O)O)O)O)O)O)NC(=O)C)O)NC(=O)C)/C)/C)/C)/C)/C)/C)/C)/C)/C)/C)C
4-O-[(2-beta-D-glucosyl-1-D-ribitylphospho)n-(1-D-ribitylphospho)-(2R)-1-glycerophospho]-N-acetyl-beta-D-mannosaminyl-(1->4)-N-acetyl-alpha-D-glucosaminyl-diphospho-ditrans,octacis-undecaprenol	CC(=CCC/C(=C/CC/C(=C/CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\COP(=O)(O)OP(=O)(O)O[C@@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O[C@H]2[C@H]([C@H]([C@@H]([C@H](O2)CO)OP(=O)(O)OC[C@@H](COP(=O)(O)OC[C@H]([C@H]([C@H](COP(=O)(O)OC[C@H]([C@H]([C@H](CO)O)O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O)O)O)O)O)NC(=O)C)O)NC(=O)C)/C)/C)/C)/C)/C)/C)/C)/C)/C)/C)C
4-O-[(2R)-1-Glycerophospho]-N-acetyl-beta-D-mannosaminyl-(1->4)-N-acetyl-alpha-D-glucosaminyl-diphospho-ditrans,octacis-undecaprenol	CC(=CCC/C(=C/CC/C(=C/CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\COP(=O)(O)OP(=O)(O)O[C@@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O[C@H]2[C@H]([C@H]([C@@H]([C@H](O2)CO)OP(=O)(O)OC[C@@H](CO)O)O)NC(=O)C)O)NC(=O)C)/C)/C)/C)/C)/C)/C)/C)/C)/C)/C)C
4-O-[(2R)-1-glycerophospho]-N-acetyl-beta-D-mannosaminyl-(1->4)-N-acetyl-alpha-D-glucosaminyl-diphospho-ditrans,octacis-undecaprenol	CC(=CCC/C(=C/CC/C(=C/CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\COP(=O)(O)OP(=O)(O)O[C@@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O[C@H]2[C@H]([C@H]([C@@H]([C@H](O2)CO)OP(=O)(O)OC[C@@H](CO)O)O)NC(=O)C)O)NC(=O)C)/C)/C)/C)/C)/C)/C)/C)/C)/C)/C)C
4-O-[(2R)-glycerophospho]-N-acetyl-beta-D-mannosaminyl-(1->4)-N-acetyl-alpha-D-glucosaminyl-diphospho-ditrans,octacis-undecaprenol	CC(=CCC/C(=C/CC/C(=C/CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\COP(=O)([O-])OP(=O)([O-])O[C@@H]1[C@@H]([C@H](C([C@H](O1)CO)O[C@H]2[C@H]([C@H]([C@@H]([C@H](O2)CO)OP(=O)([O-])OC[C@@H](CO)O)O)NC(=O)C)O)NC(=O)C)/C)/C)/C)/C)/C)/C)/C)/C)/C)/C)C
4-O-[1-D-ribitylphospho-(2R)-1-glycerophospho]-N-acetyl-beta-D-mannosaminyl-(1->4)-N-acetyl-alpha-D-glucosaminyl-diphospho-ditrans,octacis-undecaprenol	CC(=CCC/C(=C/CC/C(=C/CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\COP(=O)(O)OP(=O)(O)O[C@@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O[C@H]2[C@H]([C@H]([C@@H]([C@H](O2)CO)OP(=O)(O)OC[C@@H](COP(=O)(O)OC[C@H]([C@H]([C@H](CO)O)O)O)O)O)NC(=O)C)O)NC(=O)C)/C)/C)/C)/C)/C)/C)/C)/C)/C)/C)C
4-O-[1-D-ribitylphospho-(2R)-1-glycerophospho]-N-acetyl-beta-D-mannosaminyl-(1->4)-N-acetyl-alpha-D-glucosaminyl-diphospho-ditrans,octacis-undecaprenol	CC(=CCC/C(=C/CC/C(=C/CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\COP(=O)([O-])OP(=O)([O-])O[C@@H]1[C@@H]([C@H](C([C@H](O1)CO)O[C@H]2[C@H]([C@H]([C@@H]([C@H](O2)CO)OP(=O)([O-])OC[C@@H](COP(=O)([O-])OC[C@H]([C@H]([C@H](CO)O)O)O)O)O)NC(=O)C)O)NC(=O)C)/C)/C)/C)/C)/C)/C)/C)/C)/C)/C)C
4-O-acetyl-N-acetylmannosamine	CC(=O)N[C@H]1[C@H]([C@@H]([C@H](O[C@@H]1O)CO)OC(=O)C)O
4-O-acetyl-UDP-N-acetylglucosamine	CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@@H]1OP(=O)([O-])OP(=O)([O-])OC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=CC(=O)NC3=O)O)O)CO)OC(=O)C)O
4-O-alpha-D-galactopyranuronosyl-alpha-D-galactopyranuronic acid	[C@@H]1([C@H]([C@H](O[C@@H]([C@@H]1O)O[C@@H]2[C@@H]([C@H]([C@H](O[C@@H]2C(=O)O)O)O)O)C(=O)O)O)O
4-O-beta-D-galactopyranosyl-D-mannose	C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@H]([C@@H](CO)O)[C@@H]([C@@H](C=O)O)O)O)O)O)O
4-O-beta-D-glucopyranosyl-D-gluconate	C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O[C@H]([C@@H](CO)O)[C@@H]([C@H](C(=O)[O-])O)O)O)O)O)O
4-O-beta-D-glucopyranosyl-D-glucose	C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](O[C@H]([C@@H]([C@H]2O)O)O)CO)O)O)O)O
4-O-beta-D-glucopyranosyl-D-glucose	C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O
4-O-beta-D-glucopyranosyl-D-glucose	C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](OC([C@@H]([C@H]2O)O)O)CO)O)O)O)O
4-O-beta-D-glucopyranosyl-D-mannose	C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O[C@H]([C@@H](CO)O)[C@@H]([C@@H](C=O)O)O)O)O)O)O
4-O-beta-D-glucosyl-4-hydroxycinnamate	C1=CC(=CC=C1/C=C/C(=O)[O-])O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O
4-O-beta-D-glucosyl-4-hydroxycinnamate	C1=CC(=CC=C1/C=C/C(=O)O)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O
4-O-beta-D-glucosyl-esculetin	C1=CC2=C(C=C1O)OC(=O)C=C2O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O
